title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,filename_year,tid,year,tid_category,category
Leon Kirchner,6260,winner,1468858673,winners/leon-kirchner,"First performed by the Beaux Arts Quartet in Town Hall,  January 27, 1967.
",225,153,Quartet No. 3,,1967,153,1967,225,Music
Stanley Penn and Monroe Karmin,6261,winner,1439235150,winners/stanley-penn-and-monroe-karmin,"For their investigative reporting of the connection between American crime and gambling in the Bahamas. 
",209,153,"The Wall Street Journal
",,1967,153,1967,209,National Reporting
Jack R. Thornell,6262,winner,1439235150,winners/jack-r-thornell,"For his picture of the shooting of James Meredith in Mississippi by a roadside rifleman.
",271,153,"Associated Press
",,1967,153,1967,271,Photography
Anne Sexton,6263,winner,1439235150,winners/anne-sexton,,224,153,"Live or Die
","Houghton
",1967,153,1967,224,Poetry
Milwaukee Journal,6264,winner,1439235150,winners/milwaukee-journal-0,"For its successful campaign to stiffen the law against water pollution in Wisconsin, a notable advance in the national effort for the conservation of natural resources.
",204,153,"Milwaukee Journal
",,1967,153,1967,204,Public Service
Staff,6265,winner,1439235150,winners/staff-6,"For its successful campaign to control the Kentucky strip mining industry, a notable advance in the national effort for the conservation of natural resources.
",204,153,"Louisville Courier-Journal
",,1967,153,1967,204,Public Service
Arthur Walworth,6142,winner,1439235142,winners/arthur-walworth,,222,161,"Woodrow Wilson
","Longmans
",1959,161,1959,222,Biography
Archibald Macleish,6143,winner,1439235142,winners/archibald-macleish-1,,218,161,"J. B.
",,1959,161,1959,218,Drama
William H. (Bill) Mauldin,6144,winner,1439235142,winners/william-h-bill-mauldin,"For &quot;I won the Nobel Prize for Literature. What was your crime?&quot;  Published on October 30, 1958.
",215,161,"St. Louis Post-Dispatch
",,1959,161,1959,215,Editorial Cartooning
Ralph McGill,6145,winner,1439235142,winners/ralph-mcgill,"For his distinguished editorial writing during 1958 as exemplified in his editorial &quot;A Church, A School....&quot; and for his long, courageous and effective editorial leadership.
",214,161,"The Atlanta (GA) Constitution
",,1959,161,1959,214,Editorial Writing
Robert Lewis Taylor,6146,winner,1439235142,winners/robert-lewis-taylor,,219,161,"The Travels of Jaimie McPheeters
","Doubleday
",1959,161,1959,219,Fiction
Leonard D. White,6147,winner,1718985007,winners/leonard-d-white,,220,161,The Republican Era: 1869-1901,,1959,161,1959,220,History
Joseph Martin and Philip Santora,6148,winner,1439235142,winners/joseph-martin-and-philip-santora,"For their exclusive series of articles disclosing the brutality of the Batista government in Cuba long before its downfall and forecasting the triumph of the revolutionary party led by Fidel Castro.
",210,161,"New York Daily News
",,1959,161,1959,210,International Reporting
Miss Mary Lou Werner,6149,winner,1439235142,winners/miss-mary-lou-werner,"For her comprehensive year-long coverage of the integration crisis in Virginia which demonstrated admirable qualities of accuracy, speed and the ability to interpret the news under deadline pressure in the course of a difficult and taxing assignment.
",,161,"The Evening Star
",,1959,161,1959,,
John Harold Brislin,6150,winner,1439235142,winners/john-harold-brislin,"For displaying courage, initiative and resourcefulness in his effective four-year campaign to halt labor violence in his home city, as a result of which ten corrupt union officials were sent to jail and a local union was embolden to clean out racketeering elements.
",,161,"Scranton (PA) Tribune and Scrantonian
",,1959,161,1959,,
John LaMontaine,6151,winner,1439235142,winners/john-lamontaine,"First performed in Washington, D.C. by the National Symphony Orchestra on November 25, 1958.
",225,161,"Concerto for Piano and Orchestra
",,1959,161,1959,225,Music
Howard Van Smith,6152,winner,1439235142,winners/howard-van-smith,"For a series of articles that focused public notice on deplorable conditions in a Florida migrant labor camp, resulted in the provision of generous assistance for the 4,000 stranded workers in the camp, and thereby called attention to the national problem presented by 1,500,000 migratory laborers.
",209,161,"The Miami (FL) News
",,1959,161,1959,209,National Reporting
William Seaman,6153,winner,1439235142,winners/william-seaman,"For his dramatic photograph of the sudden death of a child in the street.
",271,161,"Minneapolis Star
",,1959,161,1959,271,Photography
Stanley Kunitz,6154,winner,1439235142,winners/stanley-kunitz,,224,161,"Selected Poems 1928-1958
","Little
",1959,161,1959,224,Poetry
Utica (NY) Observer-Dispatch and Utica Daily Press,6155,winner,1439235142,winners/utica-ny-observer-dispatch-and-utica-daily-press,"For their successful campaign against corruption, gambling and vice in their home city and the achievement of sweeping civic reforms in the face of political pressure and threats of violence. By their stalwart leadership of the forces of good government, these newspapers upheld the best tradition of a free press.
",204,161,"Utica (NY) Observer-Dispatch and Utica Daily Press
",,1959,161,1959,204,Public Service
Mary Lou Werner,13947,winner,1573755973,winners/mary-lou-werner,"For her comprehensive year-long coverage of the integration crisis in Virginia which demonstrated admirable qualities of accuracy, speed and the ability to interpret the news under deadline pressure in the course of a difficult and taxing assignment. (Werner was identified as &quot;Miss Mary Lou Werner&quot; in the original announcement.)
",268,161,The Evening Star,,1959,161,1959,268,Local Reporting - Edition time
John Harold Brislin,13948,winner,1444839818,winners/john-harold-brislin-0,"For displaying courage, initiative and resourcefulness in his effective four-year campaign to halt labor violence in his home city, as a result of which ten corrupt union officials were sent to jail and a local union was embolden to clean out racketeering elements.
",269,161,"Scranton (PA) Tribune and Scrantonian
",,1959,161,1959,269,Local Reporting - No edition time
Russell Baker,6531,winner,1439235164,winners/russell-baker-0,,222,137,"Growing Up
","Congdon &amp; Weed
",1983,137,1983,222,Biography
Claude Sitton,6532,winner,1439235164,winners/claude-sitton,,212,137,"Raleigh (NC) News &amp; Observer
",,1983,137,1983,212,Commentary
Manuela Hoelterhoff,6533,winner,1439235164,winners/manuela-hoelterhoff,"For her wide-ranging criticism on the arts and other subjects.
",213,137,"The Wall Street Journal
",,1983,137,1983,213,Criticism
Marsha Norman,6534,winner,1439235164,winners/marsha-norman,,218,137,"Night, Mother
",,1983,137,1983,218,Drama
Richard Locher,6535,winner,1439235164,winners/richard-locher,,215,137,"Chicago Tribune
",,1983,137,1983,215,Editorial Cartooning
Editorial Board,6536,winner,1461251887,winners/editorial-board,"For its campaign against the detention of illegal Haitian immigrants by federal officials.
",214,137,The Miami Herald,,1983,137,1983,214,Editorial Writing
James B. Dickman,6537,winner,1439235164,winners/james-b-dickman,"For his telling photographs of life and death in El Salvador.
",217,137,"Dallas Times Herald
",,1983,137,1983,217,Feature Photography
Nan Robertson,6538,winner,1510769282,winners/nan-robertson,"For her memorable and medically detailed account of her struggle with toxic shock syndrome.
",211,137,The New York Times,,1983,137,1983,211,Feature Writing
Alice Walker,6539,winner,1439235164,winners/alice-walker,,219,137,"The Color Purple
","Harcourt Brace
",1983,137,1983,219,Fiction
Susan Sheehan,6540,winner,1477497704,winners/susan-sheehan,,223,137,Is There No Place on Earth for Me?,Houghton Mifflin,1983,137,1983,223,General Nonfiction
Rhys L. Isaac,6541,winner,1439235164,winners/rhys-l-isaac,,220,137,"The Transformation of Virginia, 1740-1790
","U. North Carolina Press
",1983,137,1983,220,History
Thomas L. Friedman and Loren Jenkins,6542,winner,1533228404,winners/thomas-l-friedman-and-loren-jenkins,"For their individual reporting of the Israeli invasion of Beirut and its tragic aftermath.
",210,137,The New York Times and The Washington Post,,1983,137,1983,210,International Reporting
Editorial Staff,6543,winner,1439235164,winners/editorial-staff-0,"For its courageous and resourceful coverage of a devastating flood in March 1982.
",266,137,"Fort Wayne (IN) News-Sentinel
",,1983,137,1983,266,Local General or Spot News Reporting
Loretta Tofani,6544,winner,1533227087,winners/loretta-tofani,"For her investigation of rape and sexual assault in the Prince George&#039;s County, Maryland, Detention Center.
",267,137,The Washington Post,,1983,137,1983,267,Local Investigative Specialized Reporting
Ellen Taaffe Zwilich,6545,winner,1468854831,winners/ellen-taaffe-zwilich,"Commissioned by the American Composers Orchestra and premiered by that orchestra on May 5, 1982 in Alice Tully Hall, New York City.
",225,137,Symphony No. I (Three Movements for Orchestra),,1983,137,1983,225,Music
Staff,6546,winner,1439235164,winners/staff-18,"For its balanced and informative special report on the nuclear arms race.
",209,137,"The Boston Globe
",,1983,137,1983,209,National Reporting
Galway Kinnell,6547,winner,1439235164,winners/galway-kinnell,,224,137,"Selected Poems
","Houghton Mifflin
",1983,137,1983,224,Poetry
Jackson (MS) Clarion-Ledger,6548,winner,1439235164,winners/jackson-ms-clarion-ledger,"For its successful campaign supporting Governor Winter in his legislative battle for reform of Mississippi&#039;s public education system.
",204,137,"Jackson (MS) Clarion-Ledger
",,1983,137,1983,204,Public Service
Bill Foley,6549,winner,1439235164,winners/bill-foley,"For his moving series of pictures of victims and survivors of the massacre in the Sabra Camp in Beirut.
",274,137,"Associated Press
",,1983,137,1983,274,Spot News Photography
Laura E. Richards and Maud Howe Elliott assisted by Florence Howe Hall,5704,winner,1524076430,winners/laura-e-richards-and-maud-howe-elliott-assisted-florence-howe-hall,,222,203,"Julia Ward Howe, 1819-1910",Houghton,1917,203,1917,222,Biography
New York Tribune,5705,winner,1463430625,winners/new-york-tribune,"For an editorial article on the first anniversary of the sinking of the Lusitania. (No author named.)
",214,203,,,1917,203,1917,214,Editorial Writing
His Excellency J.J. Jusserand,5706,winner,1469040786,winners/his-excellency-jj-jusserand,,220,203,With Americans of Past and Present Days,,1917,203,1917,220,History
Herbert Bayard Swope,5707,winner,1462202954,winners/herbert-bayard-swope,"For articles which appeared October 10, October 15 and from November 4 daily to November 22, 1916, inclusive, entitled, &quot;Inside the German Empire.&quot;
",272,203,New York World,,1917,203,1917,272,Reporting
Douglas S. Freeman,5850,winner,1439235125,winners/douglas-s-freeman,,222,185,"R. E. Lee
","Scribner
",1935,185,1935,222,Biography
Arthur Krock,5851,winner,1439235125,winners/arthur-krock-0,"For his Washington dispatches
",263,185,"The New York Times
",,1935,185,1935,263,Correspondence
Zoe Akins,5852,winner,1439235125,winners/zoe-akins,,218,185,"The Old Maid
",,1935,185,1935,218,Drama
Ross A. Lewis,5853,winner,1439235125,winners/ross-lewis,"For &quot;Sure, I&#039;ll Work for Both Sides.&quot;
",215,185,"The Milwaukee Journal
",,1935,185,1935,215,Editorial Cartooning
Charles McLean Andrews,5854,winner,1439235125,winners/charles-mclean-andrews,,220,185,"The Colonial Period of American History
","Yale Univ. Press
",1935,185,1935,220,History
Josephine Winslow Johnson,5855,winner,1439235125,winners/josephine-winslow-johnson,,261,185,"Now in November
","Simon &amp; Schuster
",1935,185,1935,261,Novel
Audrey Wurdemann,5856,winner,1439235125,winners/audrey-wurdemann,,224,185,"Bright Ambush
","John Day
",1935,185,1935,224,Poetry
The Sacramento (CA) Bee,5857,winner,1439235125,winners/sacramento-ca-bee,"For its campaign against political machine influence in the appointment of two Federal judges in Nevada.
",204,185,"The Sacramento (CA) Bee
",,1935,185,1935,204,Public Service
William H. Taylor,5858,winner,1439235125,winners/william-h-taylor,"For his series of articles on the international yacht races.
",272,185,"New York Herald Tribune
",,1935,185,1935,272,Reporting
R. W. B. Lewis,6404,winner,1439235155,winners/r-w-b-lewis,,222,144,"Edith Wharton: A Biography
","Harper
",1976,144,1976,222,Biography
Walter Wellesley (Red) Smith,6405,winner,1510784412,winners/walter-wellesley-red-smith,"For his commentary on sports in 1975 and for many other years.
",212,144,The New York Times,,1976,144,1976,212,Commentary
Alan M. Kriegsman,6406,winner,1534956456,winners/alan-m-kriegsman,"For his critical writing about the dance during 1975.
",213,144,The Washington Post,,1976,144,1976,213,Criticism
"Michael Bennett, James Kirkwood, Jr., Marvin Hamlisch, Nicholas Dante and Edward Kleban",6407,winner,1461009298,winners/michael-bennett-james-kirkwood-jr-marvin-hamlisch-nicholas-dante-and-edward-kleban,,218,144,A Chorus Line,,1976,144,1976,218,Drama
Tony Auth,6408,winner,1439235155,winners/tony-auth,"For &quot;O beautiful for spacious skies, For amber waves of grain,&quot; published on July 22, 1975.
",215,144,"The Philadelphia Inquirer
",,1976,144,1976,215,Editorial Cartooning
Philip P. Kerby,6409,winner,1439235155,winners/philip-p-kerby,"For his editorials against government secrecy and judicial censorship.
",214,144,"Los Angeles Times
",,1976,144,1976,214,Editorial Writing
Photographic Staff,6410,winner,1439235158,winners/photographic-staff,"For a comprehensive pictorial report on busing in Louisville&#039;s schools.
",217,144,"Louisville Courier-Journal and Times
",,1976,144,1976,217,Feature Photography
Saul Bellow,6411,winner,1439235158,winners/saul-bellow,,219,144,"Humboldt&#039;s Gift
","Viking
",1976,144,1976,219,Fiction
Robert N. Butler,6412,winner,1439235158,winners/robert-n-butler,,223,144,"Why Survive? Being Old In America
","Harper
",1976,144,1976,223,General Nonfiction
Paul Horgan,6413,winner,1439235158,winners/paul-horgan-0,,220,144,"Lamy of Santa Fe
","Farrar
",1976,144,1976,220,History
Sydney H. Schanberg,6414,winner,1510783675,winners/sydney-h-schanberg,"For his coverage of the Communist takeover in Cambodia, carried out at great risk when he elected to stay at his post after the fall of Pnom Penh.
",210,144,The New York Times,,1976,144,1976,210,International Reporting
Gene Miller,6415,winner,1439235158,winners/gene-miller-0,"For his persistent and courageous reporting over eight and one-half years that led to the exoneration and release of two men who had twice been tried for murder and wrongfully convicted and sentenced to death in Florida.
",266,144,"Miami Herald
",,1976,144,1976,266,Local General or Spot News Reporting
Staff,6416,winner,1439235158,winners/staff-13,"For uncovering widespread abuses in Federal housing programs in Chicago and exposing shocking conditions at two private Chicago hospitals.
",267,144,"Chicago Tribune
",,1976,144,1976,267,Local Investigative Specialized Reporting
Ned Rorem,6417,winner,1468857684,winners/ned-rorem,"First performed by the Cincinnati Symphony Orchestra on December 5, 1975. It is subtitled &quot;Ten Etudes of Orchestra.&quot;
",225,144,Air Music,,1976,144,1976,225,Music
James Risser,6418,winner,1439235158,winners/james-risser,"For disclosing large-scale corruption in the American grain exporting trade.
",209,144,"Des Moines Register
",,1976,144,1976,209,National Reporting
John Ashbery,6419,winner,1439235158,winners/john-ashbery,,224,144,"Self-Portrait in a Convex Mirror
","Viking
",1976,144,1976,224,Poetry
Anchorage Daily News,6420,winner,1439235158,winners/anchorage-daily-news,"For its disclosures of the impact and influence of the Teamsters Union on Alaska&#039;s economy and politics.
",204,144,"Anchorage Daily News
",,1976,144,1976,204,Public Service
Stanley Forman,6421,winner,1439235158,winners/stanley-forman,"For his sequence of photographs of a fire in Boston on July 22, 1975.
",274,144,"Boston Herald American
",,1976,144,1976,274,Spot News Photography
Scott Joplin,14071,winner,1452195092,winners/scott-joplin,"A special award is bestowed posthumously on Scott Joplin, in this Bicentennial Year, for his contributions to American music.
",260,144,,,1976,144,1976,260,Special Citations and Awards
Professor John Hohenberg,14077,winner,1452195794,winners/professor-john-hohenberg,"A special citation and an antique plaque inscribed by all the members of the Advisory Board, expressing appreciation for his services for 22 years as Administrator of the Pulitzer Prizes and for his achievements as teacher and journalist.",260,144,,,1976,144,1976,260,Special Citations and Awards
Emory Holloway,5775,winner,1464704064,winners/emory-holloway,,222,193,Whitman: An Interpretation in Narrative,Knopf,1927,193,1927,222,Biography
Paul Green,5776,winner,1439235123,winners/paul-green,,218,193,"In Abraham&#039;s Bosom
",,1927,193,1927,218,Drama
Nelson Harding,5777,winner,1623896584,winners/nelson-harding,"For &quot;Toppling the Idol.&quot;
",215,193,Brooklyn Daily Eagle,,1927,193,1927,215,Editorial Cartooning
F. Lauriston Bullard,5778,winner,1439235123,winners/f-lauriston-bullard,"For the editorial entitled, &quot;We Submit.&quot;
",214,193,"Boston Herald
",,1927,193,1927,214,Editorial Writing
Samuel Flagg Bemis,5779,winner,1439235123,winners/samuel-flagg-bemis,,220,193,"Pinckney&#039;s Treaty
","Johns Hopkins
",1927,193,1927,220,History
Louis Bromfield,5780,winner,1439235123,winners/louis-bromfield,,261,193,"Early Autumn
","Stokes
",1927,193,1927,261,Novel
Leonora Speyer,5781,winner,1439235123,winners/leonora-speyer,,224,193,"Fiddler&#039;s Farewell
","Knopf
",1927,193,1927,224,Poetry
Canton (Ohio) Daily News,5782,winner,1439235123,winners/canton-ohio-daily-news,"For its brave, patriotic and effective fight for the ending of a vicious state of affairs brought about by collusion between city authorities and the criminal element, a fight which had a tragic result in the assassination of the editor of the paper, Mr. Don R. Mellett.
",204,193,"Canton (Ohio) Daily News
",,1927,193,1927,204,Public Service
John T. Rogers,5783,winner,1439235123,winners/john-t-rogers,"For the inquiry leading to the impeachment of Judge George W. English of the U.S. Court for the Eastern District of Illinois.
",272,193,"St. Louis Post-Dispatch
",,1927,193,1927,272,Reporting
David Herbert Donald,6636,winner,1439235170,winners/david-herbert-donald,,222,132,"Look Homeward: A Life of Thomas Wolfe
","Little
",1988,132,1988,222,Biography
Dave Barry,6637,winner,1439235170,winners/dave-barry,"For his consistently effective use of humor as a device for presenting fresh insights into serious concerns.
",212,132,"The Miami Herald
",,1988,132,1988,212,Commentary
Tom Shales,6638,winner,1533226400,winners/tom-shales,"For his television criticism.
",213,132,The Washington Post,,1988,132,1988,213,Criticism
Alfred Uhry,6639,winner,1439235170,winners/alfred-uhry,,218,132,"Driving Miss Daisy
",,1988,132,1988,218,Drama
Doug Marlette,6640,winner,1439235170,winners/doug-marlette,,215,132,"The Atlanta Constitution and Charlotte Observer
",,1988,132,1988,215,Editorial Cartooning
Jane Healy,6641,winner,1439235170,winners/jane-healy,"For her series of editorials protesting overdevelopment of Florida&#039;s Orange County.
",214,132,"Orlando Sentinel
",,1988,132,1988,214,Editorial Writing
Daniel Hertzberg and James B. Stewart,6642,winner,1439235170,winners/daniel-hertzberg-and-james-b-stewart,"For their stories about an investment banker charged with insider trading and the critical day that followed the October 19, 1987, stock market crash.
",264,132,"The Wall Street Journal
",,1988,132,1988,264,Explanatory Journalism
Michel du Cille,6643,winner,1439235170,winners/michel-du-cille,"For photographs portraying the decay and subsequent rehabilitation of a housing project overrun by the drug crack.
",217,132,"The Miami Herald
",,1988,132,1988,217,Feature Photography
Jacqui Banaszynski,6644,winner,1439235170,winners/jacqui-banaszynski,"For her moving series about the life and death of an AIDS victim in a rural farm community.
",211,132,"St. Paul Pioneer Press Dispatch
",,1988,132,1988,211,Feature Writing
Toni Morrison,6645,winner,1439235170,winners/toni-morrison,,219,132,"Beloved
","Alfred A. Knopf
",1988,132,1988,219,Fiction
Staff,6646,winner,1439235170,winners/staff-23,"For an investigation that revealed serious flaws in the Massachusetts prison furlough system and led to significant statewide reforms.
",265,132,"Lawrence (MA) Eagle-Tribune
",,1988,132,1988,265,General News Reporting
Staff,6647,winner,1439235170,winners/staff-24,"For its compelling investigation of the state&#039;s unusually high infant-mortality rate, which prompted legislation to combat the problem.
",265,132,"The Alabama Journal
",,1988,132,1988,265,General News Reporting
Richard Rhodes,6648,winner,1439235170,winners/richard-rhodes,,223,132,"The Making of the Atomic Bomb
","Simon and Schuster
",1988,132,1988,223,General Nonfiction
Robert V. Bruce,6649,winner,1439235170,winners/robert-v-bruce,,220,132,"The Launching of Modern American Science 1846-1876
","Alfred A. Knopf
",1988,132,1988,220,History
Thomas L. Friedman,6650,winner,1510764893,winners/thomas-l-friedman,"For balanced and informed coverage of Israel.
",210,132,The New York Times,,1988,132,1988,210,International Reporting
"Dean Baquet, William Gaines and Ann Marie Lipinski",6651,winner,1439235170,winners/dean-baquet-william-gaines-and-ann-marie-lipinski,"For their detailed reporting on the self-interest and waste that plague Chicago&#039;s City Council.
",206,132,"Chicago Tribune
",,1988,132,1988,206,Investigative Reporting
William Bolcom,6652,winner,1468853028,winners/william-bolcom,"First complete performance by Marc-André Hamelin, pianist, on March 30, 1987 at Temple University, Philadelphia, Pa.
",225,132,12 New Etudes for Piano,,1988,132,1988,225,Music
Tim Weiner,6653,winner,1439235170,winners/tim-weiner,"For his series of reports on a secret Pentagon budget used by the government to sponsor defense research and an arms buildup.
",209,132,"The Philadelphia Inquirer
",,1988,132,1988,209,National Reporting
William Meredith,6654,winner,1439235170,winners/william-meredith,,224,132,"Partial Accounts: New and Selected Poems
","Alfred A. Knopf
",1988,132,1988,224,Poetry
The Charlotte Observer,6655,winner,1439235170,winners/charlotte-observer,"For revealing misuse of funds by the PTL television ministry through persistent coverage conducted in the face of a massive campaign by PTL to discredit the newspaper.
",204,132,"The Charlotte Observer
",,1988,132,1988,204,Public Service
Walt Bogdanich,6656,winner,1439235170,winners/walt-bogdanich,"For his chilling series of reports on faulty testing by American medical laboratories.
",273,132,"The Wall Street Journal
",,1988,132,1988,273,Specialized Reporting
Scott Shaw,6657,winner,1439235170,winners/scott-shaw,"For his photograph of the child Jessica McClure being rescued from the well into which she had fallen.
",274,132,"Odessa (TX) American
",,1988,132,1988,274,Spot News Photography
W. A. Swanberg,6351,winner,1439235153,winners/w-swanberg,,222,147,"Luce and His Empire
","Scribner
",1973,147,1973,222,Biography
David S. Broder,6352,winner,1534171955,winners/david-s-broder,"For his columns during 1972.
",212,147,The Washington Post,,1973,147,1973,212,Commentary
Ronald Powers,6353,winner,1439235153,winners/ronald-powers,"For his critical writing about television during 1972.
",213,147,"Chicago Sun-Times
",,1973,147,1973,213,Criticism
Jason Miller,6354,winner,1439235153,winners/jason-miller,,218,147,"That Championship Season
",,1973,147,1973,218,Drama
Roger B. Linscott,6355,winner,1439235153,winners/roger-b-linscott,"For his editorials during 1972.
",214,147,"Berkshire Eagle
",,1973,147,1973,214,Editorial Writing
Brian Lanker,6356,winner,1439235153,winners/brian-lanker,"For his sequence on child birth, as exemplified by his photograph, &quot;Moment of Life.&quot;
",217,147,"Topeka Capital-Journal
",,1973,147,1973,217,Feature Photography
Eudora Welty,6357,winner,1439235153,winners/eudora-welty,,219,147,"The Optimist&#039;s Daughter
","Random
",1973,147,1973,219,Fiction
Frances FitzGerald,6358,winner,1479420097,winners/frances-fitzgerald,,223,147,Fire in the Lake: The Vietnamese and the Americans in Vietnam,Little,1973,147,1973,223,General Nonfiction
Robert Coles,6359,winner,1439235153,winners/robert-coles,,223,147,"Children of Crisis, Vols. II and III
","Little
",1973,147,1973,223,General Nonfiction
Michael Kammen,6360,winner,1439235155,winners/michael-kammen,,220,147,"People of Paradox: An Inquiry Concerning the Origins of American Civilization
","Knopf
",1973,147,1973,220,History
Max Frankel,6361,winner,1510786715,winners/max-frankel,"For his coverage of President Nixon&#039;s visit to China in 1972.
",210,147,The New York Times,,1973,147,1973,210,International Reporting
Staff,6362,winner,1439235155,winners/staff-9,"For uncovering flagrant violations of voting procedures in the primary election of March 21, 1972. 
",266,147,"Chicago Tribune
",,1973,147,1973,266,Local General or Spot News Reporting
Staff,6363,winner,1439235155,winners/staff-10,"For uncovering the large financial resources of Boys Town, Nebraska, leading to reforms in this charitable organization&#039;s solicitation and use of funds contributed by the public.
",267,147,"The Sun Newspapers of Omaha
",,1973,147,1973,267,Local Investigative Specialized Reporting
Elliott Carter,6364,winner,1439235155,winners/elliott-carter-0,"Premiered by the Juilliard String Quartet at Tully Hall, Lincoln Center, New York City, on January 23, 1973.
",225,147,"String Quartet No. 3
",,1973,147,1973,225,Music
Robert Boyd and Clark Hoyt,6365,winner,1439235155,winners/robert-boyd-and-clark-hoyt,"For their disclosure of Senator Thomas Eagleton&#039;s history of psychiatric therapy, resulting in his withdrawal as the Democratic Vice Presidential nominee in 1972.
",209,147,"Knight Newspapers
",,1973,147,1973,209,National Reporting
Maxine Kumin,6366,winner,1439235155,winners/maxine-kumin,,224,147,"Up Country
","Harper
",1973,147,1973,224,Poetry
The Washington Post,6367,winner,1534956139,winners/washington-post,"For its investigation of the Watergate case.
",204,147,The Washington Post,,1973,147,1973,204,Public Service
Huynh Cong Ut,6368,winner,1439235155,winners/huynh-cong-ut,"For his photograph, &quot;The Terror of War,&quot; depicting children in flight from a napalm bombing.
",274,147,"Associated Press
",,1973,147,1973,274,Spot News Photography
James Thomas Flexner,14063,winner,1452194432,winners/james-thomas-flexner,"For George Washington, Vols. I-IV.",260,147,,,1973,147,1973,260,Special Citations and Awards
Marquis James,5802,winner,1439235123,winners/marquis-james,,222,190,"The Raven
","Bobbs
",1930,190,1930,222,Biography
Leland Stowe,5803,winner,1439235123,winners/leland-stowe,"For the series of articles covering conferences on reparations and the establishment of the international bank
",263,190,"New York Herald Tribune
",,1930,190,1930,263,Correspondence
Marc Connelly,5804,winner,1439235123,winners/marc-connelly,,218,190,"The Green Pastures
",,1930,190,1930,218,Drama
Charles R. Macauley,5805,winner,1439235123,winners/charles-r-macauley,"For &quot;Paying for a Dead Horse.&quot;
",215,190,"Brooklyn Daily Eagle
",,1930,190,1930,215,Editorial Cartooning
Claude H. Van Tyne,5806,winner,1464037944,winners/claude-h-van-tyne,,220,190,"The Founding of the American Republic, Volume II: The War of Independence: American Phase",Houghton,1930,190,1930,220,History
Oliver La Farge,5807,winner,1630529086,winners/oliver-la-farge,,261,190,Laughing Boy,Houghton,1930,190,1930,261,Novel
Conrad Aiken,5808,winner,1439235123,winners/conrad-aiken,,224,190,"Selected Poems
","Scribner
",1930,190,1930,224,Poetry
Russell D. Owen,5809,winner,1439235123,winners/russell-d-owen,"For his reports by radio of the Byrd Antarctic Expedition.
",272,190,"The New York Times
",,1930,190,1930,272,Reporting
 William O. Dapping,14058,winner,1464900007,winners/william-o-dapping-0,"A special prize for his reportorial work in connection with the outbreak at Auburn prison during December 1929.
",260,190,Auburn Citizen ,,1930,190,1930,260,Special Citations and Awards
Gretchen Morgenson,6933,winner,1459315762,winners/gretchen-morgenson,"For her trenchant and incisive Wall Street coverage.
",278,118,The New York Times,,2002,118,2002,278,Beat Reporting
David McCullough,6934,winner,1465413028,winners/david-mccullough-0,,222,118,John Adams,Simon &amp; Schuster,2002,118,2002,222,Biography
Staff,6935,winner,1661783430,winners/staff-51,"For its consistently outstanding photographic coverage of the terrorist attack on New York City and its aftermath.
",216,118,The New York Times,,2002,118,2002,216,Breaking News Photography
Staff,6936,winner,1469718910,winners/staff-52,"For its comprehensive and insightful coverage, executed under the most difficult circumstances, of the terrorist attack on New York City, which recounted the day&#039;s events and their implications for the future.
",205,118,The Wall Street Journal,,2002,118,2002,205,Breaking News Reporting
Thomas Friedman,6937,winner,1459315768,winners/thomas-friedman,"For his clarity of vision, based on extensive reporting, in commenting on the worldwide impact of the terrorist threat.
",212,118,The New York Times,,2002,118,2002,212,Commentary
Justin Davidson,6938,winner,1464981848,winners/justin-davidson,"For his crisp coverage of classical music that captures its essence.
",213,118,Newsday,,2002,118,2002,213,Criticism
Suzan-Lori Parks,6939,winner,1465401422,winners/suzan-lori-parks,,218,118,Topdog/Underdog,,2002,118,2002,218,Drama
Clay Bennett,6940,winner,1465479822,winners/clay-bennett,,215,118,The Christian Science Monitor,,2002,118,2002,215,Editorial Cartooning
Alex Raksin and Bob Sipchen,6941,winner,1464980827,winners/alex-raksin-and-bob-sipchen,"For their comprehensive and powerfully written editorials exploring the issues and dilemmas provoked by mentally ill people dwelling on the streets.
",214,118,Los Angeles Times,,2002,118,2002,214,Editorial Writing
Staff,6942,winner,1452031686,winners/staff-53,"For its informed and detailed reporting, before and after the September 11th attacks on America, that profiled the global terrorism network and the threats it posed.
",207,118,The New York Times,,2002,118,2002,207,Explanatory Reporting
Staff,6943,winner,1450376011,winners/staff-54,"For its photographs chronicling the pain and the perseverance of people enduring protracted conflict in Afghanistan and Pakistan.
",217,118,The New York Times,,2002,118,2002,217,Feature Photography
Barry Siegel,6944,winner,1464982820,winners/barry-siegel,"For his humane and haunting portrait of a man tried for negligence in the death of his son, and the judge who heard the case.
",211,118,Los Angeles Times,,2002,118,2002,211,Feature Writing
Richard Russo,6945,winner,1465399988,winners/richard-russo,,219,118,Empire Falls,Alfred A. Knopf,2002,118,2002,219,Fiction
Diane McWhorter,6946,winner,1465417931,winners/diane-mcwhorter,,223,118,"Carry Me Home: Birmingham, Alabama, the Climactic Battle of the Civil Rights Revolution",Simon &amp; Schuster,2002,118,2002,223,General Nonfiction
Louis Menand,6947,winner,1465402225,winners/louis-menand,,220,118,The Metaphysical Club: A Story of Ideas in America,Farrar,2002,118,2002,220,History
